date_key,full_date,year,quarter,month,month_name,day,day_of_week,is_weekend
20170124,2017-01-24,2017,1,1,January,24,Tuesday,False
20170125,2017-01-25,2017,1,1,January,25,Wednesday,False
20170126,2017-01-26,2017,1,1,January,26,Thursday,False
20170127,2017-01-27,2017,1,1,January,27,Friday,False
20170128,2017-01-28,2017,1,1,January,28,Saturday,True
20170129,2017-01-29,2017,1,1,January,29,Sunday,True
20170130,2017-01-30,2017,1,1,January,30,Monday,False
20170131,2017-01-31,2017,1,1,January,31,Tuesday,False
20170201,2017-02-01,2017,1,2,February,1,Wednesday,False
20170202,2017-02-02,2017,1,2,February,2,Thursday,False
20170203,2017-02-03,2017,1,2,February,3,Friday,False
20170204,2017-02-04,2017,1,2,February,4,Saturday,True
20170205,2017-02-05,2017,1,2,February,5,Sunday,True
20170206,2017-02-06,2017,1,2,February,6,Monday,False
20170207,2017-02-07,2017,1,2,February,7,Tuesday,False
20170208,2017-02-08,2017,1,2,February,8,Wednesday,False
20170209,2017-02-09,2017,1,2,February,9,Thursday,False
20170210,2017-02-10,2017,1,2,February,10,Friday,False
20170211,2017-02-11,2017,1,2,February,11,Saturday,True
20170212,2017-02-12,2017,1,2,February,12,Sunday,True
20170213,2017-02-13,2017,1,2,February,13,Monday,False
20170214,2017-02-14,2017,1,2,February,14,Tuesday,False
20170215,2017-02-15,2017,1,2,February,15,Wednesday,False
20170216,2017-02-16,2017,1,2,February,16,Thursday,False
20170217,2017-02-17,2017,1,2,February,17,Friday,False
20170218,2017-02-18,2017,1,2,February,18,Saturday,True
20170219,2017-02-19,2017,1,2,February,19,Sunday,True
20170220,2017-02-20,2017,1,2,February,20,Monday,False
20170221,2017-02-21,2017,1,2,February,21,Tuesday,False
20170222,2017-02-22,2017,1,2,February,22,Wednesday,False
20170223,2017-02-23,2017,1,2,February,23,Thursday,False
20170224,2017-02-24,2017,1,2,February,24,Friday,False
20170225,2017-02-25,2017,1,2,February,25,Saturday,True
20170226,2017-02-26,2017,1,2,February,26,Sunday,True
20170227,2017-02-27,2017,1,2,February,27,Monday,False
20170228,2017-02-28,2017,1,2,February,28,Tuesday,False
20170301,2017-03-01,2017,1,3,March,1,Wednesday,False
20170302,2017-03-02,2017,1,3,March,2,Thursday,False
20170303,2017-03-03,2017,1,3,March,3,Friday,False
20170304,2017-03-04,2017,1,3,March,4,Saturday,True
20170305,2017-03-05,2017,1,3,March,5,Sunday,True
20170306,2017-03-06,2017,1,3,March,6,Monday,False
20170307,2017-03-07,2017,1,3,March,7,Tuesday,False
20170308,2017-03-08,2017,1,3,March,8,Wednesday,False
20170309,2017-03-09,2017,1,3,March,9,Thursday,False
20170310,2017-03-10,2017,1,3,March,10,Friday,False
20170311,2017-03-11,2017,1,3,March,11,Saturday,True
20170312,2017-03-12,2017,1,3,March,12,Sunday,True
20170313,2017-03-13,2017,1,3,March,13,Monday,False
20170314,2017-03-14,2017,1,3,March,14,Tuesday,False
20170315,2017-03-15,2017,1,3,March,15,Wednesday,False
20170316,2017-03-16,2017,1,3,March,16,Thursday,False
20170317,2017-03-17,2017,1,3,March,17,Friday,False
20170318,2017-03-18,2017,1,3,March,18,Saturday,True
20170319,2017-03-19,2017,1,3,March,19,Sunday,True
20170320,2017-03-20,2017,1,3,March,20,Monday,False
20170321,2017-03-21,2017,1,3,March,21,Tuesday,False
20170322,2017-03-22,2017,1,3,March,22,Wednesday,False
20170323,2017-03-23,2017,1,3,March,23,Thursday,False
20170324,2017-03-24,2017,1,3,March,24,Friday,False
20170325,2017-03-25,2017,1,3,March,25,Saturday,True
20170326,2017-03-26,2017,1,3,March,26,Sunday,True
20170327,2017-03-27,2017,1,3,March,27,Monday,False
20170328,2017-03-28,2017,1,3,March,28,Tuesday,False
20170329,2017-03-29,2017,1,3,March,29,Wednesday,False
20170330,2017-03-30,2017,1,3,March,30,Thursday,False
20170331,2017-03-31,2017,1,3,March,31,Friday,False
20170401,2017-04-01,2017,2,4,April,1,Saturday,True
20170402,2017-04-02,2017,2,4,April,2,Sunday,True
20170403,2017-04-03,2017,2,4,April,3,Monday,False
20170404,2017-04-04,2017,2,4,April,4,Tuesday,False
20170405,2017-04-05,2017,2,4,April,5,Wednesday,False
20170406,2017-04-06,2017,2,4,April,6,Thursday,False
20170407,2017-04-07,2017,2,4,April,7,Friday,False
20170408,2017-04-08,2017,2,4,April,8,Saturday,True
20170409,2017-04-09,2017,2,4,April,9,Sunday,True
20170410,2017-04-10,2017,2,4,April,10,Monday,False
20170411,2017-04-11,2017,2,4,April,11,Tuesday,False
20170412,2017-04-12,2017,2,4,April,12,Wednesday,False
20170413,2017-04-13,2017,2,4,April,13,Thursday,False
20170414,2017-04-14,2017,2,4,April,14,Friday,False
20170415,2017-04-15,2017,2,4,April,15,Saturday,True
20170416,2017-04-16,2017,2,4,April,16,Sunday,True
20170417,2017-04-17,2017,2,4,April,17,Monday,False
20170418,2017-04-18,2017,2,4,April,18,Tuesday,False
20170419,2017-04-19,2017,2,4,April,19,Wednesday,False
20170420,2017-04-20,2017,2,4,April,20,Thursday,False
20170421,2017-04-21,2017,2,4,April,21,Friday,False
20170422,2017-04-22,2017,2,4,April,22,Saturday,True
20170423,2017-04-23,2017,2,4,April,23,Sunday,True
20170424,2017-04-24,2017,2,4,April,24,Monday,False
20170425,2017-04-25,2017,2,4,April,25,Tuesday,False
20170426,2017-04-26,2017,2,4,April,26,Wednesday,False
20170427,2017-04-27,2017,2,4,April,27,Thursday,False
20170428,2017-04-28,2017,2,4,April,28,Friday,False
20170429,2017-04-29,2017,2,4,April,29,Saturday,True
20170430,2017-04-30,2017,2,4,April,30,Sunday,True
20170501,2017-05-01,2017,2,5,May,1,Monday,False
20170502,2017-05-02,2017,2,5,May,2,Tuesday,False
20170503,2017-05-03,2017,2,5,May,3,Wednesday,False
20170504,2017-05-04,2017,2,5,May,4,Thursday,False
20170505,2017-05-05,2017,2,5,May,5,Friday,False
20170506,2017-05-06,2017,2,5,May,6,Saturday,True
20170507,2017-05-07,2017,2,5,May,7,Sunday,True
20170508,2017-05-08,2017,2,5,May,8,Monday,False
20170509,2017-05-09,2017,2,5,May,9,Tuesday,False
20170510,2017-05-10,2017,2,5,May,10,Wednesday,False
20170511,2017-05-11,2017,2,5,May,11,Thursday,False
20170512,2017-05-12,2017,2,5,May,12,Friday,False
20170513,2017-05-13,2017,2,5,May,13,Saturday,True
20170514,2017-05-14,2017,2,5,May,14,Sunday,True
20170515,2017-05-15,2017,2,5,May,15,Monday,False
20170516,2017-05-16,2017,2,5,May,16,Tuesday,False
20170517,2017-05-17,2017,2,5,May,17,Wednesday,False
20170518,2017-05-18,2017,2,5,May,18,Thursday,False
20170519,2017-05-19,2017,2,5,May,19,Friday,False
20170520,2017-05-20,2017,2,5,May,20,Saturday,True
20170521,2017-05-21,2017,2,5,May,21,Sunday,True
20170522,2017-05-22,2017,2,5,May,22,Monday,False
20170523,2017-05-23,2017,2,5,May,23,Tuesday,False
20170524,2017-05-24,2017,2,5,May,24,Wednesday,False
20170525,2017-05-25,2017,2,5,May,25,Thursday,False
20170526,2017-05-26,2017,2,5,May,26,Friday,False
20170527,2017-05-27,2017,2,5,May,27,Saturday,True
20170528,2017-05-28,2017,2,5,May,28,Sunday,True
20170529,2017-05-29,2017,2,5,May,29,Monday,False
20170530,2017-05-30,2017,2,5,May,30,Tuesday,False
20170531,2017-05-31,2017,2,5,May,31,Wednesday,False
20170601,2017-06-01,2017,2,6,June,1,Thursday,False
20170602,2017-06-02,2017,2,6,June,2,Friday,False
20170603,2017-06-03,2017,2,6,June,3,Saturday,True
20170604,2017-06-04,2017,2,6,June,4,Sunday,True
20170605,2017-06-05,2017,2,6,June,5,Monday,False
20170606,2017-06-06,2017,2,6,June,6,Tuesday,False
20170607,2017-06-07,2017,2,6,June,7,Wednesday,False
20170608,2017-06-08,2017,2,6,June,8,Thursday,False
20170609,2017-06-09,2017,2,6,June,9,Friday,False
20170610,2017-06-10,2017,2,6,June,10,Saturday,True
20170611,2017-06-11,2017,2,6,June,11,Sunday,True
20170612,2017-06-12,2017,2,6,June,12,Monday,False
20170613,2017-06-13,2017,2,6,June,13,Tuesday,False
20170614,2017-06-14,2017,2,6,June,14,Wednesday,False
20170615,2017-06-15,2017,2,6,June,15,Thursday,False
20170616,2017-06-16,2017,2,6,June,16,Friday,False
20170617,2017-06-17,2017,2,6,June,17,Saturday,True
20170618,2017-06-18,2017,2,6,June,18,Sunday,True
20170619,2017-06-19,2017,2,6,June,19,Monday,False
20170620,2017-06-20,2017,2,6,June,20,Tuesday,False
20170621,2017-06-21,2017,2,6,June,21,Wednesday,False
20170622,2017-06-22,2017,2,6,June,22,Thursday,False
20170623,2017-06-23,2017,2,6,June,23,Friday,False
20170624,2017-06-24,2017,2,6,June,24,Saturday,True
20170625,2017-06-25,2017,2,6,June,25,Sunday,True
20170626,2017-06-26,2017,2,6,June,26,Monday,False
20170627,2017-06-27,2017,2,6,June,27,Tuesday,False
20170628,2017-06-28,2017,2,6,June,28,Wednesday,False
20170629,2017-06-29,2017,2,6,June,29,Thursday,False
20170630,2017-06-30,2017,2,6,June,30,Friday,False
20170701,2017-07-01,2017,3,7,July,1,Saturday,True
20170702,2017-07-02,2017,3,7,July,2,Sunday,True
20170703,2017-07-03,2017,3,7,July,3,Monday,False
20170704,2017-07-04,2017,3,7,July,4,Tuesday,False
20170705,2017-07-05,2017,3,7,July,5,Wednesday,False
20170706,2017-07-06,2017,3,7,July,6,Thursday,False
20170707,2017-07-07,2017,3,7,July,7,Friday,False
20170708,2017-07-08,2017,3,7,July,8,Saturday,True
20170709,2017-07-09,2017,3,7,July,9,Sunday,True
20170710,2017-07-10,2017,3,7,July,10,Monday,False
20170711,2017-07-11,2017,3,7,July,11,Tuesday,False
20170712,2017-07-12,2017,3,7,July,12,Wednesday,False
20170713,2017-07-13,2017,3,7,July,13,Thursday,False
20170714,2017-07-14,2017,3,7,July,14,Friday,False
20170715,2017-07-15,2017,3,7,July,15,Saturday,True
20170716,2017-07-16,2017,3,7,July,16,Sunday,True
20170717,2017-07-17,2017,3,7,July,17,Monday,False
20170718,2017-07-18,2017,3,7,July,18,Tuesday,False
20170719,2017-07-19,2017,3,7,July,19,Wednesday,False
20170720,2017-07-20,2017,3,7,July,20,Thursday,False
20170721,2017-07-21,2017,3,7,July,21,Friday,False
20170722,2017-07-22,2017,3,7,July,22,Saturday,True
20170723,2017-07-23,2017,3,7,July,23,Sunday,True
20170724,2017-07-24,2017,3,7,July,24,Monday,False
20170725,2017-07-25,2017,3,7,July,25,Tuesday,False
20170726,2017-07-26,2017,3,7,July,26,Wednesday,False
20170727,2017-07-27,2017,3,7,July,27,Thursday,False
20170728,2017-07-28,2017,3,7,July,28,Friday,False
20170729,2017-07-29,2017,3,7,July,29,Saturday,True
20170730,2017-07-30,2017,3,7,July,30,Sunday,True
20170731,2017-07-31,2017,3,7,July,31,Monday,False
20170801,2017-08-01,2017,3,8,August,1,Tuesday,False
20170802,2017-08-02,2017,3,8,August,2,Wednesday,False
20170803,2017-08-03,2017,3,8,August,3,Thursday,False
20170804,2017-08-04,2017,3,8,August,4,Friday,False
20170805,2017-08-05,2017,3,8,August,5,Saturday,True
20170806,2017-08-06,2017,3,8,August,6,Sunday,True
20170807,2017-08-07,2017,3,8,August,7,Monday,False
20170808,2017-08-08,2017,3,8,August,8,Tuesday,False
20170809,2017-08-09,2017,3,8,August,9,Wednesday,False
20170810,2017-08-10,2017,3,8,August,10,Thursday,False
20170811,2017-08-11,2017,3,8,August,11,Friday,False
20170812,2017-08-12,2017,3,8,August,12,Saturday,True
20170813,2017-08-13,2017,3,8,August,13,Sunday,True
20170814,2017-08-14,2017,3,8,August,14,Monday,False
20170815,2017-08-15,2017,3,8,August,15,Tuesday,False
20170816,2017-08-16,2017,3,8,August,16,Wednesday,False
20170817,2017-08-17,2017,3,8,August,17,Thursday,False
20170818,2017-08-18,2017,3,8,August,18,Friday,False
20170819,2017-08-19,2017,3,8,August,19,Saturday,True
20170820,2017-08-20,2017,3,8,August,20,Sunday,True
20170821,2017-08-21,2017,3,8,August,21,Monday,False
20170822,2017-08-22,2017,3,8,August,22,Tuesday,False
20170823,2017-08-23,2017,3,8,August,23,Wednesday,False
20170824,2017-08-24,2017,3,8,August,24,Thursday,False
20170825,2017-08-25,2017,3,8,August,25,Friday,False
20170826,2017-08-26,2017,3,8,August,26,Saturday,True
20170827,2017-08-27,2017,3,8,August,27,Sunday,True
20170828,2017-08-28,2017,3,8,August,28,Monday,False
20170829,2017-08-29,2017,3,8,August,29,Tuesday,False
20170830,2017-08-30,2017,3,8,August,30,Wednesday,False
20170831,2017-08-31,2017,3,8,August,31,Thursday,False
20170901,2017-09-01,2017,3,9,September,1,Friday,False
20170902,2017-09-02,2017,3,9,September,2,Saturday,True
20170903,2017-09-03,2017,3,9,September,3,Sunday,True
20170904,2017-09-04,2017,3,9,September,4,Monday,False
20170905,2017-09-05,2017,3,9,September,5,Tuesday,False
20170906,2017-09-06,2017,3,9,September,6,Wednesday,False
20170907,2017-09-07,2017,3,9,September,7,Thursday,False
20170908,2017-09-08,2017,3,9,September,8,Friday,False
20170909,2017-09-09,2017,3,9,September,9,Saturday,True
20170910,2017-09-10,2017,3,9,September,10,Sunday,True
20170911,2017-09-11,2017,3,9,September,11,Monday,False
20170912,2017-09-12,2017,3,9,September,12,Tuesday,False
20170913,2017-09-13,2017,3,9,September,13,Wednesday,False
20170914,2017-09-14,2017,3,9,September,14,Thursday,False
20170915,2017-09-15,2017,3,9,September,15,Friday,False
20170916,2017-09-16,2017,3,9,September,16,Saturday,True
20170917,2017-09-17,2017,3,9,September,17,Sunday,True
20170918,2017-09-18,2017,3,9,September,18,Monday,False
20170919,2017-09-19,2017,3,9,September,19,Tuesday,False
20170920,2017-09-20,2017,3,9,September,20,Wednesday,False
20170921,2017-09-21,2017,3,9,September,21,Thursday,False
20170922,2017-09-22,2017,3,9,September,22,Friday,False
20170923,2017-09-23,2017,3,9,September,23,Saturday,True
20170924,2017-09-24,2017,3,9,September,24,Sunday,True
20170925,2017-09-25,2017,3,9,September,25,Monday,False
20170926,2017-09-26,2017,3,9,September,26,Tuesday,False
20170927,2017-09-27,2017,3,9,September,27,Wednesday,False
20170928,2017-09-28,2017,3,9,September,28,Thursday,False
20170929,2017-09-29,2017,3,9,September,29,Friday,False
20170930,2017-09-30,2017,3,9,September,30,Saturday,True
20171001,2017-10-01,2017,4,10,October,1,Sunday,True
20171002,2017-10-02,2017,4,10,October,2,Monday,False
20171003,2017-10-03,2017,4,10,October,3,Tuesday,False
20171004,2017-10-04,2017,4,10,October,4,Wednesday,False
20171005,2017-10-05,2017,4,10,October,5,Thursday,False
20171006,2017-10-06,2017,4,10,October,6,Friday,False
20171007,2017-10-07,2017,4,10,October,7,Saturday,True
20171008,2017-10-08,2017,4,10,October,8,Sunday,True
20171009,2017-10-09,2017,4,10,October,9,Monday,False
20171010,2017-10-10,2017,4,10,October,10,Tuesday,False
20171011,2017-10-11,2017,4,10,October,11,Wednesday,False
20171012,2017-10-12,2017,4,10,October,12,Thursday,False
20171013,2017-10-13,2017,4,10,October,13,Friday,False
20171014,2017-10-14,2017,4,10,October,14,Saturday,True
20171015,2017-10-15,2017,4,10,October,15,Sunday,True
20171016,2017-10-16,2017,4,10,October,16,Monday,False
20171017,2017-10-17,2017,4,10,October,17,Tuesday,False
20171018,2017-10-18,2017,4,10,October,18,Wednesday,False
20171019,2017-10-19,2017,4,10,October,19,Thursday,False
20171020,2017-10-20,2017,4,10,October,20,Friday,False
20171021,2017-10-21,2017,4,10,October,21,Saturday,True
20171022,2017-10-22,2017,4,10,October,22,Sunday,True
20171023,2017-10-23,2017,4,10,October,23,Monday,False
20171024,2017-10-24,2017,4,10,October,24,Tuesday,False
20171025,2017-10-25,2017,4,10,October,25,Wednesday,False
20171026,2017-10-26,2017,4,10,October,26,Thursday,False
20171027,2017-10-27,2017,4,10,October,27,Friday,False
20171028,2017-10-28,2017,4,10,October,28,Saturday,True
20171029,2017-10-29,2017,4,10,October,29,Sunday,True
20171030,2017-10-30,2017,4,10,October,30,Monday,False
20171031,2017-10-31,2017,4,10,October,31,Tuesday,False
20171101,2017-11-01,2017,4,11,November,1,Wednesday,False
20171102,2017-11-02,2017,4,11,November,2,Thursday,False
20171103,2017-11-03,2017,4,11,November,3,Friday,False
20171104,2017-11-04,2017,4,11,November,4,Saturday,True
20171105,2017-11-05,2017,4,11,November,5,Sunday,True
20171106,2017-11-06,2017,4,11,November,6,Monday,False
20171107,2017-11-07,2017,4,11,November,7,Tuesday,False
20171108,2017-11-08,2017,4,11,November,8,Wednesday,False
20171109,2017-11-09,2017,4,11,November,9,Thursday,False
20171110,2017-11-10,2017,4,11,November,10,Friday,False
20171111,2017-11-11,2017,4,11,November,11,Saturday,True
20171112,2017-11-12,2017,4,11,November,12,Sunday,True
20171113,2017-11-13,2017,4,11,November,13,Monday,False
20171114,2017-11-14,2017,4,11,November,14,Tuesday,False
20171115,2017-11-15,2017,4,11,November,15,Wednesday,False
20171116,2017-11-16,2017,4,11,November,16,Thursday,False
20171117,2017-11-17,2017,4,11,November,17,Friday,False
20171118,2017-11-18,2017,4,11,November,18,Saturday,True
20171119,2017-11-19,2017,4,11,November,19,Sunday,True
20171120,2017-11-20,2017,4,11,November,20,Monday,False
20171121,2017-11-21,2017,4,11,November,21,Tuesday,False
20171122,2017-11-22,2017,4,11,November,22,Wednesday,False
20171123,2017-11-23,2017,4,11,November,23,Thursday,False
20171124,2017-11-24,2017,4,11,November,24,Friday,False
20171125,2017-11-25,2017,4,11,November,25,Saturday,True
20171126,2017-11-26,2017,4,11,November,26,Sunday,True
20171127,2017-11-27,2017,4,11,November,27,Monday,False
20171128,2017-11-28,2017,4,11,November,28,Tuesday,False
20171129,2017-11-29,2017,4,11,November,29,Wednesday,False
20171130,2017-11-30,2017,4,11,November,30,Thursday,False
20171201,2017-12-01,2017,4,12,December,1,Friday,False
20171202,2017-12-02,2017,4,12,December,2,Saturday,True
20171203,2017-12-03,2017,4,12,December,3,Sunday,True
20171204,2017-12-04,2017,4,12,December,4,Monday,False
20171205,2017-12-05,2017,4,12,December,5,Tuesday,False
20171206,2017-12-06,2017,4,12,December,6,Wednesday,False
20171207,2017-12-07,2017,4,12,December,7,Thursday,False
20171208,2017-12-08,2017,4,12,December,8,Friday,False
20171209,2017-12-09,2017,4,12,December,9,Saturday,True
20171210,2017-12-10,2017,4,12,December,10,Sunday,True
20171211,2017-12-11,2017,4,12,December,11,Monday,False
20171212,2017-12-12,2017,4,12,December,12,Tuesday,False
20171213,2017-12-13,2017,4,12,December,13,Wednesday,False
20171214,2017-12-14,2017,4,12,December,14,Thursday,False
20171215,2017-12-15,2017,4,12,December,15,Friday,False
20171216,2017-12-16,2017,4,12,December,16,Saturday,True
20171217,2017-12-17,2017,4,12,December,17,Sunday,True
20171218,2017-12-18,2017,4,12,December,18,Monday,False
20171219,2017-12-19,2017,4,12,December,19,Tuesday,False
20171220,2017-12-20,2017,4,12,December,20,Wednesday,False
20171221,2017-12-21,2017,4,12,December,21,Thursday,False
20171222,2017-12-22,2017,4,12,December,22,Friday,False
20171223,2017-12-23,2017,4,12,December,23,Saturday,True
20171224,2017-12-24,2017,4,12,December,24,Sunday,True
20171225,2017-12-25,2017,4,12,December,25,Monday,False
20171226,2017-12-26,2017,4,12,December,26,Tuesday,False
20171227,2017-12-27,2017,4,12,December,27,Wednesday,False
20171228,2017-12-28,2017,4,12,December,28,Thursday,False
20171229,2017-12-29,2017,4,12,December,29,Friday,False
20171230,2017-12-30,2017,4,12,December,30,Saturday,True
20171231,2017-12-31,2017,4,12,December,31,Sunday,True
20180101,2018-01-01,2018,1,1,January,1,Monday,False
20180102,2018-01-02,2018,1,1,January,2,Tuesday,False
20180103,2018-01-03,2018,1,1,January,3,Wednesday,False
20180104,2018-01-04,2018,1,1,January,4,Thursday,False
20180105,2018-01-05,2018,1,1,January,5,Friday,False
20180106,2018-01-06,2018,1,1,January,6,Saturday,True
20180107,2018-01-07,2018,1,1,January,7,Sunday,True
20180108,2018-01-08,2018,1,1,January,8,Monday,False
20180109,2018-01-09,2018,1,1,January,9,Tuesday,False
20180110,2018-01-10,2018,1,1,January,10,Wednesday,False
20180111,2018-01-11,2018,1,1,January,11,Thursday,False
20180112,2018-01-12,2018,1,1,January,12,Friday,False
20180113,2018-01-13,2018,1,1,January,13,Saturday,True
20180114,2018-01-14,2018,1,1,January,14,Sunday,True
20180115,2018-01-15,2018,1,1,January,15,Monday,False
20180116,2018-01-16,2018,1,1,January,16,Tuesday,False
20180117,2018-01-17,2018,1,1,January,17,Wednesday,False
20180118,2018-01-18,2018,1,1,January,18,Thursday,False
20180119,2018-01-19,2018,1,1,January,19,Friday,False
20180120,2018-01-20,2018,1,1,January,20,Saturday,True
20180121,2018-01-21,2018,1,1,January,21,Sunday,True
20180122,2018-01-22,2018,1,1,January,22,Monday,False
20180123,2018-01-23,2018,1,1,January,23,Tuesday,False
20180124,2018-01-24,2018,1,1,January,24,Wednesday,False
20180125,2018-01-25,2018,1,1,January,25,Thursday,False
20180126,2018-01-26,2018,1,1,January,26,Friday,False
20180127,2018-01-27,2018,1,1,January,27,Saturday,True
20180128,2018-01-28,2018,1,1,January,28,Sunday,True
20180129,2018-01-29,2018,1,1,January,29,Monday,False
20180130,2018-01-30,2018,1,1,January,30,Tuesday,False
20180131,2018-01-31,2018,1,1,January,31,Wednesday,False
20180201,2018-02-01,2018,1,2,February,1,Thursday,False
20180202,2018-02-02,2018,1,2,February,2,Friday,False
20180203,2018-02-03,2018,1,2,February,3,Saturday,True
20180204,2018-02-04,2018,1,2,February,4,Sunday,True
20180205,2018-02-05,2018,1,2,February,5,Monday,False
20180206,2018-02-06,2018,1,2,February,6,Tuesday,False
